"year","age","value"
2025,"55 - 59",0.0524108218
2030,"55 - 59",0.0528932206
2035,"55 - 59",0.0519168906
2040,"55 - 59",0.055652734
2045,"55 - 59",0.0596134167
2050,"55 - 59",0.0568025338
1950,"50 - 54",0.0426055637
1955,"50 - 54",0.043126227
1960,"50 - 54",0.0430351558
1965,"50 - 54",0.041550857
1970,"50 - 54",0.0374262066
1975,"50 - 54",0.0399268676
1980,"50 - 54",0.0412183802
1985,"50 - 54",0.0401776172
1990,"50 - 54",0.0400417574
1995,"50 - 54",0.0382752747
2000,"50 - 54",0.0428863739
2005,"50 - 54",0.0496726618
2010,"50 - 54",0.0509808117
2015,"50 - 54",0.0547287691
2020,"50 - 54",0.056905008
2025,"50 - 54",0.057047812
2030,"50 - 54",0.0557179775
2035,"50 - 54",0.0593939395
2040,"50 - 54",0.0632550676
2045,"50 - 54",0.0599919638
2050,"50 - 54",0.0569769669
1950,"45 - 49",0.0504526737
1955,"45 - 49",0.0502311505
1960,"45 - 49",0.048783212
1965,"45 - 49",0.0436667191
1970,"45 - 49",0.0459972899
1975,"45 - 49",0.0469807669
1980,"45 - 49",0.0457302806
1985,"45 - 49",0.0454846957
1990,"45 - 49",0.0427956794
1995,"45 - 49",0.0472909703
2000,"45 - 49",0.0544919529
2005,"45 - 49",0.0557604716
2010,"45 - 49",0.0595869491
2015,"45 - 49",0.0614949206
2020,"45 - 49",0.0612591366
2025,"45 - 49",0.0594887875
2030,"45 - 49",0.0630546724
2035,"45 - 49",0.0667847599
2040,"45 - 49",0.0630526144
2045,"45 - 49",0.0596291592
2050,"45 - 49",0.0593908049
1950,"40 - 44",0.0584297919
1955,"40 - 44",0.0563012937
1960,"40 - 44",0.0507264153
1965,"40 - 44",0.0528018597
1970,"40 - 44",0.0535058125
1975,"40 - 44",0.0515426583
1980,"40 - 44",0.0511864891
1985,"40 - 44",0.0480424468
1990,"40 - 44",0.0523916362
1995,"40 - 44",0.0595656982
2000,"40 - 44",0.0608402691
2005,"40 - 44",0.0646106134
2010,"40 - 44",0.0664096962
2015,"40 - 44",0.0657425012
2020,"40 - 44",0.0634665107
2025,"40 - 44",0.0668408427
2030,"40 - 44",0.0703946529
2035,"40 - 44",0.0661601615
2040,"40 - 44",0.0623000591
2045,"40 - 44",0.0617813475
2050,"40 - 44",0.0631624137
1950,"35 - 39",0.0645081879
1955,"35 - 39",0.0582010479
1960,"35 - 39",0.0603003944
1965,"35 - 39",0.0610183781
1970,"35 - 39",0.0582336023
1975,"35 - 39",0.0572165195
1980,"35 - 39",0.0536035253
1985,"35 - 39",0.058347578
1990,"35 - 39",0.0653885939
1995,"35 - 39",0.0661519623
2000,"35 - 39",0.0698952829
2005,"35 - 39",0.0717685994
2010,"35 - 39",0.0706784271
2015,"35 - 39",0.0678636137
2020,"35 - 39",0.0709989568
2025,"35 - 39",0.0742944358
2030,"35 - 39",0.0694902912
2035,"35 - 39",0.0651512045
2040,"35 - 39",0.0643248183
2045,"35 - 39",0.0654713512
2050,"35 - 39",0.0665534709
1950,"30 - 34",0.0662011288
1955,"30 - 34",0.0681168592
1960,"30 - 34",0.0691188198
1965,"30 - 34",0.0661412118
1970,"30 - 34",0.0643071733
1975,"30 - 34",0.0597452221
1980,"30 - 34",0.0647874211
1985,"30 - 34",0.0725727282
1990,"30 - 34",0.0723240023
1995,"30 - 34",0.0756943184
2000,"30 - 34",0.0774131512
2005,"30 - 34",0.0760035078
2010,"30 - 34",0.0727525383
2015,"30 - 34",0.0756520871
2020,"30 - 34",0.0786782594
2025,"30 - 34",0.0731765649
2030,"30 - 34",0.0682887148
2035,"30 - 34",0.0671215764
2040,"30 - 34",0.0680112298
2045,"30 - 34",0.0688339758
2050,"30 - 34",0.0675233173
1950,"25 - 29",0.0769092131
1955,"25 - 29",0.0778624882
1960,"25 - 29",0.074639473
1965,"25 - 29",0.0728072351
1970,"25 - 29",0.0668583254
1975,"25 - 29",0.0717858251
1980,"25 - 29",0.0802901643
1985,"25 - 29",0.0800075079
1990,"25 - 29",0.0825222359
1995,"25 - 29",0.0836642457
2000,"25 - 29",0.081956548
2005,"25 - 29",0.0781855148
2010,"25 - 29",0.0808969456
2015,"25 - 29",0.0836141156
2020,"25 - 29",0.0773362801
2025,"25 - 29",0.0717961143
2030,"25 - 29",0.0702332003
2035,"25 - 29",0.0708405788
2040,"25 - 29",0.0713818821
2045,"25 - 29",0.0697328995
2050,"25 - 29",0.0676929794
1950,"20 - 24",0.0878955954
1955,"20 - 24",0.0839141577
1960,"20 - 24",0.0820528184
1965,"20 - 24",0.0756988593
1970,"20 - 24",0.0802685923
1975,"20 - 24",0.089045821
1980,"20 - 24",0.088630448
1985,"20 - 24",0.0915371497
1990,"20 - 24",0.0914997158
1995,"20 - 24",0.0886488485
2000,"20 - 24",0.0842241032
2005,"20 - 24",0.0865830489
2010,"20 - 24",0.0892680256
2015,"20 - 24",0.0821087173
2020,"20 - 24",0.0757683124
2025,"20 - 24",0.0737555729
2030,"20 - 24",0.0740298656
2035,"20 - 24",0.0742607636
2040,"20 - 24",0.0722390585
2045,"20 - 24",0.0698423763
2050,"20 - 24",0.0681601975
1950,"15 - 19",0.0945240032
1955,"15 - 19",0.0923115244
1960,"15 - 19",0.0853680409
1965,"15 - 19",0.0908236903
1970,"15 - 19",0.0998032277
1975,"15 - 19",0.0981986314
1980,"15 - 19",0.1012988141
1985,"15 - 19",0.1013435869
1990,"15 - 19",0.0970929632
1995,"15 - 19",0.0911034871
2000,"15 - 19",0.0932651762
2005,"15 - 19",0.0959051844
2010,"15 - 19",0.0876286712
2015,"15 - 19",0.0804282306
2020,"15 - 19",0.077793502
2025,"15 - 19",0.0776713103
2030,"15 - 19",0.0775376538
2035,"15 - 19",0.0751013091
2040,"15 - 19",0.0723116466
2045,"15 - 19",0.0702877064
2050,"15 - 19",0.0691922894
1950,"10 - 14",0.1032143767
1955,"10 - 14",0.0954140968
1960,"10 - 14",0.1017997292
1965,"10 - 14",0.1121703994
1970,"10 - 14",0.1097845775
1975,"10 - 14",0.1118218789
1980,"10 - 14",0.1117103856
1985,"10 - 14",0.1069456098
1990,"10 - 14",0.0991316384
1995,"10 - 14",0.1002289961
2000,"10 - 14",0.1025908161
2005,"10 - 14",0.0938738657
2010,"10 - 14",0.0856970012
2015,"10 - 14",0.08243476
2020,"10 - 14",0.0817405378
2025,"10 - 14",0.0811500379
2030,"10 - 14",0.0782376901
2035,"10 - 14",0.0750172023
2040,"10 - 14",0.0726225144
2045,"10 - 14",0.0712092894
2050,"10 - 14",0.0702985552
1950,"5 - 9",0.1067804342
1955,"5 - 9",0.1137530945
1960,"5 - 9",0.1260611405
1965,"5 - 9",0.1232636416
1970,"5 - 9",0.1249080601
1975,"5 - 9",0.1233247229
1980,"5 - 9",0.1179330906
1985,"5 - 9",0.1091892955
1990,"5 - 9",0.1087222032
1995,"5 - 9",0.110039137
2000,"5 - 9",0.1001501947
2005,"5 - 9",0.0914540748
2010,"5 - 9",0.0878200696
2015,"5 - 9",0.0865793724
2020,"5 - 9",0.0853632371
2025,"5 - 9",0.0818476647
2030,"5 - 9",0.0781161632
2035,"5 - 9",0.0753024592
2040,"5 - 9",0.0735332417
2045,"5 - 9",0.0723037274
2050,"5 - 9",0.0710752258
1950,"0 - 4",0.1335237122
1955,"0 - 4",0.1469185798
1960,"0 - 4",0.1431693294
1965,"0 - 4",0.1440871085
1970,"0 - 4",0.1410907311
1975,"0 - 4",0.1329551194
1980,"0 - 4",0.1226952737
1985,"0 - 4",0.1218188752
1990,"0 - 4",0.1211647761
1995,"0 - 4",0.1088127501
2000,"0 - 4",0.0986432279
2005,"0 - 4",0.0943390378
2010,"0 - 4",0.0928490519
2015,"0 - 4",0.0909373934
2020,"0 - 4",0.0865951491
2025,"0 - 4",0.0821550347
2030,"0 - 4",0.0787855988
2035,"0 - 4",0.0765665312
2040,"0 - 4",0.0749378948
2045,"0 - 4",0.0733389164
2050,"0 - 4",0.0716362276
